,product,unit,kelembaban,tekanan,waktu,suhu,T-Squared,keterangan,D1,D2,D3,D4,Variabel Berpengaruh
284,GAF06,GITAR_AKUSTIK_D-12_FRET,0.067,24.92,21.36,149.95,5.886471579444059,In Control,0.5347680384546631,0.3029562995727826,5.06625540061687,0.23030910323842768,Waktu
285,GAF07,GITAR_AKUSTIK_D-12_FRET,0.066,25.18,21.41,150.28,4.684737276368235,In Control,0.656395119370691,0.021338085157809772,4.568615427539769,0.023994156444502757,Waktu
286,GAF08,GITAR_AKUSTIK_D-12_FRET,0.067,24.94,20.01,149.96,1.246936262070222,In Control,0.020447821123876775,0.18222950322597042,0.48234865311159913,0.08579256334247942,Waktu
287,GAF09,GITAR_AKUSTIK_D-12_FRET,0.065,25.23,19.73,150.37,2.980035174901603,In Control,0.5103341615468446,0.01201719222099129,2.9145165975146745,0.011120113321312797,Waktu
288,GAF10,GITAR_AKUSTIK_D-12_FRET,0.07,24.46,20.26,149.25,4.651136974982146,In Control,0.20216628394463143,0.987074581506878,0.21858873458422945,0.5572719076582358,Tekanan
289,GAF11,GITAR_AKUSTIK_D-12_FRET,0.068,24.85,19.9,149.84,1.8720139541938283,In Control,0.014715513738867259,0.20067983866223393,0.5568795189944578,0.03336957635468618,Waktu
290,GAF12,GITAR_AKUSTIK_D-12_FRET,0.069,24.55,20.34,149.33,3.833618171130882,In Control,0.01322746439257605,0.9425204383018606,0.2101942192565649,0.8730719470893509,Tekanan
291,GAF13,GITAR_AKUSTIK_D-12_FRET,0.069,24.66,20.05,149.53,2.680834269285318,In Control,0.06254690487906256,0.5011334433886563,0.0413417236789666,0.2414460839221091,Tekanan
292,GAF14,GITAR_AKUSTIK_D-12_FRET,0.064,25.52,20.94,150.78,0.7972170466184465,In Control,0.06772182205894628,0.08649164293898981,0.48608994926838667,0.057240730450487054,Waktu
293,GAF15,GITAR_AKUSTIK_D-12_FRET,0.068,24.79,20.89,149.73,3.648479582549907,In Control,0.36188028874468126,0.40962047212091157,2.0397698980321874,0.2796321629534271,Waktu
294,GAF16,GITAR_AKUSTIK_D-12_FRET,0.06,26.32,20.49,151.62,6.56040507267398,In Control,0.39655277968755254,1.9954322895807568,1.21840343065245,0.4124603090047536,Tekanan
